jahr;ID;Abkuerzung;Name;Farbe
2018;1301;CSU;Christlich Soziale Union in Bayern;0088ce
2018;1302;SPD;Sozialdemokratische Partei Deutschlands;e3000f
2018;1303;FREIE WÄHLER;Freie Wähler;ff8000
2018;1304;GRÜNE;Bündnis 90/Die Grünen;46962b
2018;1305;FDP;Freie Demokratische Partei;ffff00
2018;1306;DIE LINKE;Die Linke;be3075
2018;1307;BP;Bayernpartei;98f5ff
2018;1308;ÖDP;Ökologisch-Demokratische Partei;f47920
2018;1309;PIRATEN;Piratenpartei Deutschland;ff820a
2018;1310;DIE FRANKEN;Partei für Franken;f30022
2018;1311;AfD;Alternative für Deutschland;009ee0
2018;1312;LKR;Liberal-Konservative Reformer;f39200
2018;1313;mut;mut;00a0e1
2018;1314;Die Humanisten;Partei der Humanisten;005a82
2018;1315;Die PARTEI;Partei;b5152b
2018;1316;Gesundheitsforschung;Partei für Gesundheitsforschung;000000
2018;1317;Tierschutzpartei;Partei Mensch Umwelt Tierschutz;013e7e
2018;1318;V-Partei;V-Partei - Partei für Veränderung; Vegetarier und Veganer;a3c02a
2018;1319;REP;Die Republikaner;005993
2018;1320;NPD;Nationaldemokratische Partei Deutschlands;8b4726
2018;1321;FRAUENLISTE;Frauenliste Bayern;d9357c
2018;1322;BüSo;Bürgerrechtsbewegung Solidarität;1f4569
2018;1323;DIE FREIHEIT;Bürgerrechtspartei für mehr Freiheit und Demokratie;115faa
