Ingolstadt (Krfr.St),9161,75
"München, Landeshauptstadt",9162,493
Rosenheim (Krfr.St),9163,1312
Altötting (Lkr),9171,854
Berchtesgadener Land (Lkr),9172,811
Bad Tölz-Wolfratshausen (Lkr),9173,442
Dachau (Lkr),9174,489
Ebersberg (Lkr),9175,626
Eichstätt (Lkr),9176,232
Erding (Lkr),9177,520
Freising (Lkr),9178,662
Fürstenfeldbruck (Lkr),9179,440
Garmisch-Partenkirchen (Lkr),9180,681
Landsberg am Lech (Lkr),9181,861
Miesbach (Lkr),9182,1097
Mühldorf a.Inn (Lkr),9183,662
München (Lkr),9184,405
Neuburg-Schrobenhausen (Lkr),9185,571
Pfaffenhofen a.d.Ilm (Lkr),9186,328
Rosenheim (Lkr),9187,568
Starnberg (Lkr),9188,412
Traunstein (Lkr),9189,445
Weilheim-Schongau (Lkr),9190,373
Landshut (Krfr.St),9261,1900
Passau (Krfr.St),9262,2829
Straubing (Krfr.St),9263,1932
Deggendorf (Lkr),9271,610
Freyung-Grafenau (Lkr),9272,1090
Kelheim (Lkr),9273,285
Landshut (Lkr),9274,274
Passau (Lkr),9275,913
Regen (Lkr),9276,1326
Rottal-Inn (Lkr),9277,1079
Straubing-Bogen (Lkr),9278,369
Dingolfing-Landau (Lkr),9279,257
Amberg (Krfr.St),9361,675
Regensburg (Krfr.St),9362,887
Weiden i.d.OPf. (Krfr.St),9363,1511
Amberg-Sulzbach (Lkr),9371,1363
Cham (Lkr),9372,973
Neumarkt i.d.OPf. (Lkr),9373,216
Neustadt a.d.Waldnaab (Lkr),9374,567
Regensburg (Lkr),9375,383
Schwandorf (Lkr),9376,911
Tirschenreuth (Lkr),9377,1061
Bamberg (Krfr.St),9461,226
Bayreuth (Krfr.St),9462,1479
Coburg (Krfr.St),9463,432
Hof (Krfr.St),9464,1784
Bamberg (Lkr),9471,335
Bayreuth (Lkr),9472,1456
Coburg (Lkr),9473,677
Forchheim (Lkr),9474,573
Hof (Lkr),9475,733
Kronach (Lkr),9476,1290
Kulmbach (Lkr),9477,768
Lichtenfels (Lkr),9478,1185
Wunsiedel i.Fichtelgebirge (Lkr),9479,2292
Ansbach (Krfr.St),9561,628
Erlangen (Krfr.St),9562,1399
Fürth (Krfr.St),9563,1775
Nürnberg (Krfr.St),9564,2737
Schwabach (Krfr.St),9565,1218
Ansbach (Lkr),9571,720
Erlangen-Höchstadt (Lkr),9572,500
Fürth (Lkr),9573,881
Nürnberger Land (Lkr),9574,636
Neustadt a.d.Aisch-Bad Windsheim (Lkr),9575,652
Roth (Lkr),9576,414
Weißenburg-Gunzenhausen (Lkr),9577,612
Aschaffenburg (Krfr.St),9661,915
Schweinfurt (Krfr.St),9662,437
Würzburg (Krfr.St),9663,1795
Aschaffenburg (Lkr),9671,468
Bad Kissingen (Lkr),9672,560
Rhön-Grabfeld (Lkr),9673,754
Haßberge (Lkr),9674,586
Kitzingen (Lkr),9675,376
Miltenberg (Lkr),9676,743
Main-Spessart (Lkr),9677,518
Schweinfurt (Lkr),9678,408
Würzburg (Lkr),9679,503
Augsburg (Krfr.St),9761,1400
Kaufbeuren (Krfr.St),9762,594
Kempten (Allgäu) (Krfr.St),9763,38
Memmingen (Krfr.St),9764,581
Aichach-Friedberg (Lkr),9771,434
Augsburg (Lkr),9772,357
Dillingen a.d.Donau (Lkr),9773,784
Günzburg (Lkr),9774,479
Neu-Ulm (Lkr),9775,445
Lindau (Bodensee) (Lkr),9776,791
Ostallgäu (Lkr),9777,1045
Unterallgäu (Lkr),9778,570
Donau-Ries (Lkr),9779,570
Oberallgäu (Lkr),9780,1247
