Ingolstadt (Krfr.St),9161,9.3
"München, Landeshauptstadt",9162,7.79
Rosenheim (Krfr.St),9163,9.9
Altötting (Lkr),9171,11.19
Berchtesgadener Land (Lkr),9172,11
Bad Tölz-Wolfratshausen (Lkr),9173,9.59
Dachau (Lkr),9174,8.9
Ebersberg (Lkr),9175,8.4
Eichstätt (Lkr),9176,8.4
Erding (Lkr),9177,8.09
Freising (Lkr),9178,7.9
Fürstenfeldbruck (Lkr),9179,9.5
Garmisch-Partenkirchen (Lkr),9180,12
Landsberg am Lech (Lkr),9181,8.69
Miesbach (Lkr),9182,10.4
Mühldorf a.Inn (Lkr),9183,11.5
München (Lkr),9184,8.8
Neuburg-Schrobenhausen (Lkr),9185,9.59
Pfaffenhofen a.d.Ilm (Lkr),9186,9.3
Rosenheim (Lkr),9187,10.5
Starnberg (Lkr),9188,9.59
Traunstein (Lkr),9189,11.19
Weilheim-Schongau (Lkr),9190,10.5
Landshut (Krfr.St),9261,11.9
Passau (Krfr.St),9262,11.9
Straubing (Krfr.St),9263,12.69
Deggendorf (Lkr),9271,11.4
Freyung-Grafenau (Lkr),9272,11.4
Kelheim (Lkr),9273,9.8
Landshut (Lkr),9274,9.3
Passau (Lkr),9275,11.3
Regen (Lkr),9276,12.3
Rottal-Inn (Lkr),9277,11.69
Straubing-Bogen (Lkr),9278,9.8
Dingolfing-Landau (Lkr),9279,9.5
Amberg (Krfr.St),9361,12.8
Regensburg (Krfr.St),9362,9.19
Weiden i.d.OPf. (Krfr.St),9363,11.19
Amberg-Sulzbach (Lkr),9371,11.9
Cham (Lkr),9372,11.9
Neumarkt i.d.OPf. (Lkr),9373,10.3
Neustadt a.d.Waldnaab (Lkr),9374,11.69
Regensburg (Lkr),9375,9.4
Schwandorf (Lkr),9376,10.5
Tirschenreuth (Lkr),9377,13.4
Bamberg (Krfr.St),9461,11
Bayreuth (Krfr.St),9462,11.19
Coburg (Krfr.St),9463,13.4
Hof (Krfr.St),9464,14.59
Bamberg (Lkr),9471,10.69
Bayreuth (Lkr),9472,12
Coburg (Lkr),9473,12.69
Forchheim (Lkr),9474,10.09
Hof (Lkr),9475,15.3
Kronach (Lkr),9476,13.19
Kulmbach (Lkr),9477,14
Lichtenfels (Lkr),9478,13.3
Wunsiedel i.Fichtelgebirge (Lkr),9479,16
Ansbach (Krfr.St),9561,13.09
Erlangen (Krfr.St),9562,10
Fürth (Krfr.St),9563,10.69
Nürnberg (Krfr.St),9564,11.19
Schwabach (Krfr.St),9565,11.19
Ansbach (Lkr),9571,11.5
Erlangen-Höchstadt (Lkr),9572,9.59
Fürth (Lkr),9573,11.19
Nürnberger Land (Lkr),9574,11.4
Neustadt a.d.Aisch-Bad Windsheim (Lkr),9575,11.59
Roth (Lkr),9576,10.09
Weißenburg-Gunzenhausen (Lkr),9577,12.09
Aschaffenburg (Krfr.St),9661,11.9
Schweinfurt (Krfr.St),9662,13.09
Würzburg (Krfr.St),9663,11.09
Aschaffenburg (Lkr),9671,10.09
Bad Kissingen (Lkr),9672,13.09
Rhön-Grabfeld (Lkr),9673,11.69
Haßberge (Lkr),9674,11.3
Kitzingen (Lkr),9675,10.8
Miltenberg (Lkr),9676,10.9
Main-Spessart (Lkr),9677,11.9
Schweinfurt (Lkr),9678,11.09
Würzburg (Lkr),9679,9.59
Augsburg (Krfr.St),9761,10.19
Kaufbeuren (Krfr.St),9762,12
Kempten (Allgäu) (Krfr.St),9763,11.19
Memmingen (Krfr.St),9764,12
Aichach-Friedberg (Lkr),9771,8.9
Augsburg (Lkr),9772,9.8
Dillingen a.d.Donau (Lkr),9773,10.3
Günzburg (Lkr),9774,9.69
Neu-Ulm (Lkr),9775,9.19
Lindau (Bodensee) (Lkr),9776,11.4
Ostallgäu (Lkr),9777,9.9
Unterallgäu (Lkr),9778,10.8
Donau-Ries (Lkr),9779,10.19
Oberallgäu (Lkr),9780,10.3
